,country_long,name,gppd_idnr,capacity_mw,latitude,longitude,commissioning_year,owner,source,url,geolocation_source,year_of_capacity_data
3570,Canada,Bruce A,CAN0002030,3220.0,44.3391,-81.5747,,Bruce Power LP,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,Natural Resources Canada,2017.0
3571,Canada,Bruce B,CAN0002031,3390.0,44.319,-81.6027,,Bruce Power LP,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,Natural Resources Canada,2017.0
3691,Canada,Darlington,CAN0002043,3740.0,43.8697,-78.7239,,,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,Natural Resources Canada,2017.0
4191,Canada,Pickering A,CAN0002073,1084.0,43.8107,-79.0689,,,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,Natural Resources Canada,2017.0
4192,Canada,Pickering B,CAN0002074,2160.0,43.8096,-79.0639,,,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,Natural Resources Canada,2017.0
4204,Canada,Point Lepreau,CAN0002076,660.0,45.0686,-66.4543,,,Natural Resources Canada,http://ftp.maps.canada.ca/pub/nacei_cnaie/energy_infrastructure/PowerPlantsAllGE100MW_NorthAmerica_201708.xlsx,Natural Resources Canada,2017.0
4972,China,CEFR,WRI1061016,20.0,39.74,116.03,,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=CN,,
5050,China,Changjiang,WRI1061017,1220.0,19.46,108.9,,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=CN,,
5252,China,Daya Bay,WRI1061018,1888.0,22.6,114.54,,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=CN,,
5317,China,Fangchenggang,WRI1061019,2000.0,21.67,108.56,,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=CN,,
5319,China,Fangjiashan,WRI1061020,2024.0,30.44,120.94,,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=CN,,
5392,China,Fuqing,WRI1061021,4000.0,25.4426,119.444,,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=CN,,
5828,China,Hongyanhe,WRI1061022,4183.0,39.8,121.48,,,IAEA,https://www.iaea.org/PRIS/CountryStatistics/CountryDetails.aspx?current=CN,,
